iter	Passed	Remaining
0	141	140990
1	142	71026
2	143	47636
3	144	36064
4	146	29076
5	146	24342
6	147	20954
7	148	18426
8	149	16509
9	150	14917
10	151	13599
11	152	12529
12	152	11610
13	153	10834
14	154	10147
15	155	9540
16	155	9008
17	156	8535
18	157	8116
19	157	7737
20	158	7393
21	159	7105
22	161	6846
23	162	6610
24	163	6381
25	164	6177
26	165	5970
27	166	5771
28	167	5612
29	168	5451
30	169	5308
31	171	5175
32	172	5052
33	173	4940
34	175	4828
35	176	4718
36	177	4626
37	179	4538
38	180	4449
39	182	4375
40	183	4295
41	185	4236
42	187	4170
43	188	4103
44	190	4047
45	192	3992
46	194	3935
47	194	3866
48	197	3827
49	199	3791
50	201	3751
51	202	3687
52	204	3657
53	207	3628
54	209	3595
55	211	3568
56	214	3546
57	216	3522
58	218	3481
59	219	3439
60	220	3401
61	223	3376
62	225	3359
63	228	3340
64	230	3318
65	233	3303
66	235	3285
67	237	3250
68	239	3226
69	241	3205
70	243	3184
71	245	3164
72	247	3143
73	249	3119
74	251	3099
75	253	3076
76	254	3054
77	257	3038
78	259	3021
79	260	3000
80	262	2977
81	264	2956
82	265	2934
83	267	2912
84	268	2885
85	269	2863
86	270	2838
87	271	2816
88	273	2794
89	274	2776
90	275	2754
91	276	2733
92	277	2710
93	278	2689
94	280	2668
95	281	2647
96	282	2625
97	283	2605
98	284	2586
99	285	2567
100	286	2547
101	286	2525
102	287	2507
103	288	2488
104	289	2469
105	290	2451
106	291	2433
107	292	2415
108	293	2398
109	294	2382
110	295	2366
111	296	2350
112	297	2333
113	298	2319
114	299	2305
115	300	2289
116	301	2273
117	302	2259
118	302	2242
119	303	2228
120	304	2213
121	305	2200
122	306	2183
123	307	2169
124	308	2156
125	308	2143
126	309	2130
127	310	2115
128	311	2103
129	312	2091
130	313	2079
131	314	2067
132	315	2054
133	316	2043
134	317	2032
135	318	2021
136	319	2010
137	319	1997
138	320	1986
139	321	1975
140	322	1964
141	323	1954
142	324	1943
143	325	1932
144	326	1922
145	326	1912
146	327	1902
147	328	1893
148	329	1883
149	330	1874
150	331	1865
151	332	1855
152	333	1845
153	334	1836
154	335	1826
155	335	1817
156	336	1807
157	337	1798
158	338	1789
159	339	1780
160	339	1771
161	340	1762
162	341	1753
163	342	1745
164	343	1736
165	343	1728
166	344	1719
167	345	1711
168	346	1702
169	346	1694
170	347	1685
171	348	1677
172	349	1669
173	349	1661
174	350	1653
175	351	1644
176	352	1636
177	352	1629
178	353	1621
179	354	1613
180	354	1604
181	355	1596
182	356	1589
183	356	1582
184	357	1574
185	358	1567
186	358	1560
187	359	1553
188	360	1546
189	361	1539
190	361	1532
191	362	1525
192	363	1518
193	363	1512
194	364	1505
195	365	1498
196	365	1491
197	366	1485
198	367	1478
199	368	1472
200	368	1466
201	369	1459
202	370	1453
203	370	1446
204	371	1440
205	372	1434
206	372	1428
207	373	1422
208	374	1417
209	375	1411
210	376	1406
211	376	1400
212	377	1394
213	378	1388
214	378	1383
215	379	1377
216	380	1371
217	380	1365
218	381	1360
219	382	1355
220	383	1350
221	383	1344
222	384	1339
223	385	1333
224	385	1328
225	386	1323
226	387	1318
227	387	1313
228	388	1308
229	389	1303
230	389	1298
231	390	1293
232	391	1288
233	391	1283
234	392	1278
235	393	1273
236	394	1268
237	394	1263
238	395	1258
239	396	1254
240	396	1249
241	397	1245
242	398	1240
243	398	1236
244	399	1231
245	400	1227
246	401	1222
247	401	1218
248	402	1213
249	403	1209
250	403	1204
251	404	1200
252	405	1196
253	405	1191
254	406	1187
255	407	1183
256	407	1179
257	408	1175
258	409	1171
259	410	1167
260	410	1163
261	411	1159
262	412	1155
263	413	1151
264	413	1147
265	414	1143
266	415	1139
267	415	1136
268	416	1132
269	417	1128
270	418	1124
271	418	1121
272	419	1117
273	420	1113
274	421	1110
275	421	1106
276	422	1103
277	423	1099
278	424	1096
279	424	1092
280	425	1089
281	426	1085
282	427	1082
283	427	1078
284	428	1075
285	429	1071
286	429	1068
287	430	1064
288	431	1061
289	432	1058
290	432	1054
291	433	1051
292	434	1048
293	435	1044
294	435	1041
295	436	1038
296	437	1034
297	437	1031
298	438	1028
299	439	1025
300	440	1021
301	440	1018
302	441	1015
303	442	1012
304	442	1009
305	443	1006
306	444	1003
307	445	999
308	445	996
309	446	993
310	447	990
311	447	987
312	448	984
313	449	981
314	449	978
315	450	975
316	451	972
317	452	970
318	452	967
319	453	964
320	454	961
321	455	958
322	455	955
323	456	952
324	457	949
325	458	947
326	458	944
327	459	941
328	460	938
329	461	936
330	461	933
331	462	930
332	463	928
333	464	925
334	464	922
335	465	919
336	466	917
337	466	914
338	467	911
339	468	909
340	469	906
341	469	903
342	470	901
343	471	898
344	471	896
345	472	893
346	473	890
347	474	888
348	474	885
349	475	883
350	476	880
351	476	877
352	477	875
353	478	872
354	479	870
355	479	867
356	480	865
357	481	862
358	481	860
359	482	857
360	483	855
361	483	852
362	484	850
363	485	848
364	486	845
365	486	843
366	487	841
367	488	838
368	489	836
369	489	834
370	490	831
371	491	829
372	491	826
373	492	824
374	493	822
375	494	819
376	494	817
377	495	815
378	496	813
379	497	811
380	497	808
381	498	806
382	499	804
383	500	802
384	500	799
385	501	797
386	502	795
387	503	793
388	503	791
389	504	788
390	505	786
391	505	784
392	506	782
393	507	780
394	507	777
395	508	775
396	509	773
397	510	771
398	510	769
399	511	767
400	512	765
401	512	762
402	513	760
403	514	758
404	514	756
405	515	754
406	516	752
407	517	750
408	517	748
409	518	746
410	519	743
411	519	741
412	520	739
413	521	737
414	522	735
415	522	733
416	523	731
417	524	729
418	525	728
419	525	726
420	526	724
421	527	722
422	528	720
423	528	718
424	529	716
425	530	714
426	531	712
427	531	710
428	532	708
429	533	706
430	533	704
431	534	702
432	535	700
433	536	699
434	536	697
435	537	695
436	538	693
437	538	691
438	539	689
439	540	687
440	541	685
441	541	683
442	542	682
443	543	680
444	543	678
445	544	676
446	545	674
447	545	672
448	546	670
449	547	669
450	548	667
451	548	665
452	549	663
453	550	661
454	551	660
455	551	658
456	552	656
457	553	654
458	553	652
459	554	651
460	555	649
461	556	647
462	557	646
463	557	644
464	558	642
465	559	640
466	559	639
467	560	637
468	561	635
469	562	633
470	562	632
471	563	630
472	564	628
473	564	626
474	565	625
475	566	623
476	567	621
477	567	620
478	568	618
479	569	616
480	570	615
481	570	613
482	571	611
483	572	610
484	572	608
485	573	606
486	574	605
487	575	603
488	575	601
489	576	600
490	577	598
491	578	596
492	578	595
493	579	593
494	580	592
495	581	590
496	581	588
497	582	587
498	583	585
499	584	584
500	584	582
501	585	580
502	586	579
503	587	577
504	587	576
505	588	574
506	589	572
507	589	571
508	590	569
509	591	568
510	592	566
511	592	564
512	593	563
513	594	561
514	594	560
515	595	558
516	596	557
517	596	555
518	597	553
519	598	552
520	599	550
521	599	549
522	600	547
523	601	546
524	602	544
525	602	543
526	603	541
527	604	540
528	605	538
529	605	537
530	606	535
531	607	533
532	607	532
533	608	530
534	609	529
535	609	527
536	610	526
537	611	524
538	611	523
539	612	521
540	613	520
541	614	518
542	614	517
543	615	516
544	616	514
545	617	513
546	617	511
547	618	510
548	619	508
549	619	507
550	620	505
551	621	504
552	622	502
553	622	501
554	623	499
555	624	498
556	624	497
557	625	495
558	626	494
559	627	492
560	627	491
561	628	489
562	629	488
563	630	487
564	630	485
565	631	484
566	632	482
567	633	481
568	633	479
569	634	478
570	635	477
571	635	475
572	636	474
573	637	472
